match_id,season,match_date,league,home_team,away_team,home_score,away_score,possession_home,possession_away,shots_home,shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,corners_home,corners_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,fouls_home,fouls_away,offsides_home,offsides_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goalkeeper_saves_home,goalkeeper_saves_away,Computed_Home_Elo,Computed_Away_Elo,Computed_Elo_Diff,Computed_HFA,Home_RestDays,Home_Shots_5,Home_SoT_5,Home_Corners_5,Home_Poss_5,Home_Goals_5,Home_Conceded_5,Home_Points_5,Home_YellowCards_5,Home_Saves_5,Away_RestDays,Away_Shots_5,Away_SoT_5,Away_Corners_5,Away_Poss_5,Away_Goals_5,Away_Conceded_5,Away_Points_5,Away_YellowCards_5,Away_Saves_5,Home_H2H_Pts_3,Away_H2H_Pts_3,Odd_Home,Odd_Draw,Odd_Away
27VSJYeJ,2020,2020-09-28 21:00:00,,Dinamo Bucuresti,UTA Arad,0,1,57.0,43.0,16.0,4.0,7.0,3.0,9.0,1.0,5.0,2.0,4,4,0,0,18.0,12.0,0.0,0.0,12.0,18.0,28.0,27.0,2.0,7.0,1206.9095423237984,1188.8647823157667,66.79923996414709,48.75447995611543,7.0,8.75,4.5,3.75,,1.25,1.0,1.25,1.5,1.5,8.0,7.25,2.5,3.25,,1.0,1.25,0.75,2.0,3.5,,,1.51,3.83,6.43
dSweN72B,2020,2020-10-02 21:00:00,,Univ. Craiova,Poli Iasi,1,0,61.0,39.0,14.0,2.0,5.0,0.0,9.0,2.0,8.0,4.0,1,1,0,1,13.0,13.0,2.0,0.0,13.0,15.0,27.0,24.0,0.0,4.0,1257.248996648,1202.042960014332,103.06806972660706,47.86203309293911,7.0,10.4,5.6,4.8,,2.2,0.6,3.0,0.8,2.0,4.0,10.8,6.4,4.6,52.25,2.0,2.4,1.8,3.0,2.0,,,,,
benOMeTc,2020,2020-10-03 15:30:00,,Sepsi Sf. Gheorghe,FC Arges,1,0,69.0,31.0,11.0,4.0,4.0,1.0,7.0,3.0,7.0,3.0,2,1,0,0,17.0,13.0,2.0,2.0,15.0,19.0,30.0,27.0,1.0,3.0,1201.3295210303734,1154.1141214360775,95.61124716734003,48.3958475730441,7.0,8.2,4.2,6.8,50.0,1.0,1.0,1.2,3.0,3.0,7.0,7.0,4.0,4.0,47.5,0.8,2.2,0.2,2.0,2.8,,,,,
QslGOHbo,2020,2020-10-03 18:00:00,,Astra Giurgiu,FC Voluntari,2,3,48.0,52.0,8.0,13.0,3.0,6.0,5.0,7.0,6.0,8.0,3,3,0,0,9.0,17.0,3.0,3.0,20.0,12.0,19.0,13.0,3.0,1.0,1140.0463287374148,1199.096997960903,-10.106158172744244,48.94451105074395,6.0,5.2,2.2,4.6,42.0,0.6,2.6,0.2,3.0,5.2,8.0,7.4,3.8,3.8,,1.2,1.2,1.4,2.2,2.8,,,,,
viTaMRHH,2020,2020-10-03 21:00:00,,FCSB,Dinamo Bucuresti,3,2,,,6.0,8.0,3.0,5.0,3.0,3.0,4.0,7.0,6,4,0,2,15.0,14.0,4.0,1.0,15.0,19.0,16.0,26.0,3.0,0.0,1219.3650900714088,1195.0102508147806,72.57116005270086,48.21632079607269,5.0,13.4,7.4,6.0,56.0,2.4,1.4,1.8,1.8,3.0,5.0,10.2,5.0,4.0,60.0,1.0,1.0,1.0,2.0,1.6,,,,,
ncIZFPfo,2020,2020-10-04 13:30:00,,FC Botosani,Chindia Targoviste,0,2,48.0,52.0,5.0,5.0,1.0,2.0,4.0,3.0,9.0,4.0,1,1,1,1,16.0,5.0,2.0,4.0,9.0,18.0,23.0,13.0,0.0,1.0,1217.3218888667193,1186.2622451811494,79.87154626110964,48.81190257553983,5.0,8.4,4.6,4.2,49.4,1.8,1.0,1.6,3.0,2.6,6.0,8.0,2.0,4.75,44.25,0.5,1.0,1.0,3.5,2.0,,,,,
4YnKNyEi,2020,2020-10-04 18:30:00,,Gaz Metan Medias,FC Hermannstadt,1,1,45.0,55.0,7.0,9.0,3.0,4.0,4.0,5.0,2.0,11.0,4,2,0,0,23.0,10.0,0.0,4.0,14.0,23.0,25.0,22.0,3.0,2.0,1192.5263209855893,1216.99563278495,23.04230326632478,47.511615065685376,8.0,6.0,3.4,3.6,48.0,1.6,1.6,1.2,2.4,3.4,6.0,6.4,3.0,3.4,43.0,1.6,1.2,1.6,3.0,3.8,,,,,
plW7K5nU,2020,2020-10-04 21:30:00,,FC Viitorul,CFR Cluj,1,1,55.0,45.0,5.0,10.0,3.0,4.0,2.0,6.0,2.0,5.0,3,6,0,0,16.0,21.0,2.0,0.0,21.0,18.0,19.0,25.0,3.0,2.0,1183.153945124343,1229.0831449291666,1.5327472508515712,47.461947055675196,8.0,9.2,4.2,4.0,46.25,1.4,2.0,1.0,2.0,3.0,7.0,10.2,4.4,6.4,61.2,1.0,0.2,2.2,2.2,0.8,,,,,
jRW3LoXN,2020,2020-10-05 21:00:00,,UTA Arad,LPS HD Clinceni,0,0,,,8.0,4.0,2.0,1.0,6.0,3.0,2.0,1.0,1,2,0,0,10.0,18.0,3.0,2.0,20.0,13.0,25.0,26.0,1.0,2.0,1200.7640738247844,1205.6384815900078,42.58423061100598,47.45863837622948,7.0,6.6,2.6,3.0,,1.0,1.0,1.2,2.4,4.2,9.0,6.75,3.0,4.25,45.666666666666664,1.25,1.0,1.25,3.25,2.5,,,,,
vFJFCB5j,2020,2020-10-16 21:00:00,,FC Arges,Astra Giurgiu,1,0,52.0,48.0,8.0,8.0,4.0,6.0,4.0,2.0,7.0,5.0,2,2,0,0,9.0,14.0,1.0,3.0,17.0,10.0,17.0,25.0,6.0,3.0,1146.7986084000795,1130.337125341798,63.82865355781564,47.36717049953415,13.0,7.0,3.4,4.2,43.5,0.4,1.8,0.2,1.6,2.4,13.0,6.0,2.2,4.8,44.0,1.0,2.6,0.2,3.0,4.2,,,2.49,3.21,2.71
